name,movie,title,summary,country_hint,merged_race_keywords
Conrad Vernon,Shrek 2,Conrad Vernon,"Conrad Vernon (born July 11, 1968) is an American director, producer, writer, storyboard artist and voice actor, best known for his work as a writer and voice actor on the DreamWorks animated film series Shrek as well as other films such as Monsters vs. Aliens and Madagascar 3: Europe's Most Wanted. He also co-directed non-DreamWorks animated films such as Sony Pictures' Sausage Party and MGM's The Addams Family.

",American,
Sam Raimi,Spider-Man,Sam Raimi,"Samuel M. Raimi ( RAY-mee; born October 23, 1959) is an American filmmaker. He is best known for directing the first three films in the Evil Dead franchise (1981–present) and the Spider-Man trilogy (2002–2007). He also directed the superhero movie Darkman (1990), the revisionist western The Quick and the Dead (1995), the neo-noir crime thriller A Simple Plan (1998), the supernatural thriller The Gift (2000), the supernatural horror Drag Me to Hell (2009), the Disney fantasy Oz the Great and Powerful (2013), and the Marvel Studios film Doctor Strange in the Multiverse of Madness (2022).
His films are known for their highly dynamic visual style, inspired by comic books and slapstick comedy. He founded the production companies Renaissance Pictures in 1979 and Ghost House Pictures in 2002. Raimi has also produced several successful television series, including Hercules: The Legendary Journeys, its spin-off Xena: Warrior Princess, and Ash vs Evil Dead starring longtime friend and collaborator Bruce Campbell reprising his role in the Evil Dead franchise.

",,"['Jewish', 'Jewish American']"
Avi Arad,Spider-Man,Avi Arad,"Avi Arad (; Hebrew: אבי ארד; born August 1, 1948) is an Israeli-American studio executive and producer of film, television and animation. He became the CEO of Toy Biz in the 1990s, was the chief creative officer of Marvel Entertainment and is the founder, former chairman and former CEO of the latter's successor, Marvel Studios. Since then, he has produced and sometimes written a wide array of live-action, animated, and television comic book adaptations.

",Israeli,['Jewish']
Stan Lee,Spider-Man,Stan Lee,"Stan Lee (born Stanley Martin Lieber ; December 28, 1922 – November 12, 2018) was an American comic book writer, editor, publisher and producer. He rose through the ranks of a family-run business called Timely Comics which later became Marvel Comics. He was Marvel's primary creative leader for two decades, expanding it from a small publishing house division to a multimedia corporation that dominated the comics and film industries.
In collaboration with others at Marvel – particularly co-writers and artists Jack Kirby and Steve Ditko – he co-created iconic characters, including Spider-Man, the X-Men, Iron Man, Thor, the Hulk, Ant-Man, the Wasp, the Fantastic Four, Black Panther, Daredevil, Doctor Strange, the Scarlet Witch, and Black Widow. These and other characters' introductions in the 1960s pioneered a more naturalistic approach in superhero comics. In the 1970s, Lee challenged the restrictions of the Comics Code Authority, indirectly leading to changes in its policies. In the 1980s, he pursued the development of Marvel properties in other media, with mixed results.

Following his retirement from Marvel in the 1990s, Lee remained a public figurehead for the company. He frequently made cameo appearances in films and television shows based on Marvel properties, on which he received an executive producer credit, which allowed him to become the person with the highest-grossing film total ever.  He continued independent creative ventures until his death, aged 95, in 2018. Lee was inducted into the comic book industry's Will Eisner Award Hall of Fame in 1994 and the Jack Kirby Hall of Fame in 1995. He received the NEA's National Medal of Arts in 2008.

",American,"['Jewish', 'Jewish American']"
Laura Ziskin,Spider-Man,Laura Ziskin,"Laura Ellen Ziskin (March 3, 1950 – June 12, 2011) was an American film producer. She was an executive producer of Pretty Woman (1990) and a producer of Spider-Man (2002), Spider-Man 2 (2004), Spider-Man 3 (2007), and The Amazing Spider-Man (2012; posthumous credit).
She was the first woman to produce the Academy Awards telecast alone, producing the 74th Academy Awards (2002) and the 79th Academy Awards (2007).

",American,"['Russian-Jewish', 'Jewish', 'Jewish American']"
Ian Bryce,Spider-Man,Ian Bryce,"Ian Bryce (born November 30, 1956) is an English film producer. Starting as a production assistant on Return of the Jedi in 1983, he has since served as a producer for films including Twister, Saving Private Ryan, The Island, Spider-Man, Transformers, and Teenage Mutant Ninja Turtles. According to The Numbers, his films have grossed $7 billion worldwide—making him the 14th highest-grossing film producer as of 2025.

",English,
David Koepp,Spider-Man,David Koepp,"David Koepp (; born June 9, 1963) is an American screenwriter and director. He is the fourth most successful screenwriter of all time in terms of U.S. box office receipts with a total gross of over $2.6 billion. Koepp has achieved both critical and commercial success in a wide variety of genres.
Some of his best-known screenplays include the Steven Spielberg-directed Jurassic Park (1993), The Lost World: Jurassic Park (1997), War of the Worlds (2005) and Indiana Jones and the Kingdom of the Crystal Skull (2008). Other works include the crime film Carlito's Way (1993); the action spy films Mission: Impossible (1996) and Jack Ryan: Shadow Recruit (2014); the superhero film Spider-Man (2002); another Indiana Jones film, The Dial of Destiny (2023); and another Jurassic Park film, Jurassic World Rebirth (2025). Koepp has also directed seven feature films over the course of his career: The Trigger Effect (1996), Stir of Echoes (1999), Secret Window (2004), Ghost Town (2008), Premium Rush (2012), Mortdecai (2015), and You Should Have Left (2020).",American,"['Irish', 'English', 'German']"
Michael Bay,Transformers: Revenge of the Fallen,Michael Bay,"Michael Benjamin Bay (born February 17, 1965) is an American film director and producer. He is best known for making big-budget high-concept action films with fast cutting, stylistic cinematography and visuals, and extensive use of special effects, including frequent depictions of explosions. The films he has directed include Bad Boys (1995) and its sequel Bad Boys II (2003), The Rock (1996), Armageddon (1998), Pearl Harbor (2001), the first five films in the Transformers film series, 13 Hours: The Secret Soldiers of Benghazi (2016), 6 Underground (2019), and Ambulance (2022). His films have grossed over US$6.6 billion worldwide, making him the fifth-most commercially successful director in history.
He is co-founder of the production house the Institute. He co-owns Platinum Dunes, a production house which has remade horror films, including The Texas Chainsaw Massacre (2003), The Amityville Horror (2005), The Hitcher (2007), Friday the 13th (2009) and A Nightmare on Elm Street (2010).",American,"['Jewish', 'Jewish American']"
Alex Kurtzman,Transformers: Revenge of the Fallen,Alex Kurtzman,"Alexander Hilary Kurtzman (born September 7, 1973) is an American filmmaker. He is best known for co-writing the scripts to Transformers (2007), Transformers: Revenge of the Fallen (2009), Star Trek (2009), Star Trek Into Darkness (2013), and The Amazing Spider-Man 2 (2014) with his writing and producing partner Roberto Orci, and directing and co-writing The Mummy (2017). He made his directorial debut with People Like Us (2012), co-written alongside Orci and Jody Lambert.
Kurtzman is known, alongside Orci, for frequently collaborating with Michael Bay and J.J. Abrams, as well as co-creating the TV series Star Trek: Discovery, Star Trek: Picard, and Star Trek: Strange New Worlds.

",American,['Jewish American']
Roberto Orci,Transformers: Revenge of the Fallen,Roberto Orci,"Roberto Gaston Orcí (July 20, 1973 – February 25, 2025) was an American film and television screenwriter and producer. He is best known for co-writing the scripts to Transformers (2007), Transformers: Revenge of the Fallen (2009), Star Trek (2009), Star Trek Into Darkness (2013), and The Amazing Spider-Man 2 (2014) with his writing and producing partner Alex Kurtzman.
Born in Mexico City, Orci began his longtime collaboration with Alex Kurtzman while at school in California. Together they were employed on television series such as Hercules: The Legendary Journeys and Xena: Warrior Princess. In 2008, together with J. J. Abrams, they created Fringe. In 2013, they created Sleepy Hollow alongside Phillip Iscove. Orci and Kurtzman's first film project was Michael Bay's The Island, and due to that partnership they went on to write the scripts for the first two films of the Transformers film series. Orci first became a film producer with 2008's Eagle Eye and again with 2009's The Proposal.
Orci and Kurtzman subsequently returned to working with Abrams on Mission: Impossible III and both Star Trek and Star Trek Into Darkness. Between 2005 and 2011, Kurtzman and Orci's film projects took revenues of more than $3 billion. In April 2014, Orci and Kurtzman announced that they would only collaborate on television projects, and Orci worked on the third Star Trek film, Star Trek Beyond, until being replaced the following December. Orci created the television series Matador for the El Rey Network, but after this was initially renewed, it was cancelled at the end of the first season. Orci continued and Kurtzman continues to work as producers on the television series Limitless and Scorpion. Orci was awarded the Norman Lear Writer's Award and the Raul Julia Award for Excellence, in addition to shared awards and nominations including The George Pal Memorial Award.

",American,"['Mexican', 'Cuban']"
Brian Goldner,Transformers: Revenge of the Fallen,Brian Goldner,"Brian David Goldner (April 21, 1963 – October 11, 2021) was an American business chief executive and film producer. He was the chief executive officer of the American toy and media company Hasbro from 2008 until his death.

",American,
Don Murphy,Transformers: Revenge of the Fallen,Don Murphy,"Don Murphy (born April 1970) is an American film producer who produced Natural Born Killers, Real Steel, Splice and many other films, including Transformers and Transformers: Revenge of the Fallen and the upcoming re-imagining of the Faces of Death franchise.

",American,
Tom DeSanto,Transformers: Revenge of the Fallen,Tom DeSanto,"Tom DeSanto (born January 1, 1968) is an American film producer and screenwriter.

",American,
Herbert Selpin,Titanic,Herbert Selpin,"Herbert Selpin (29 May 1904 – 1 August 1942) was a German film director, film editor, and screenwriter of light entertainment during the 1930s and 1940s.
He is known for his final film, the partly suppressed 1943 propaganda film Titanic, during the production of which he was arrested by Propaganda Minister Joseph Goebbels. He was later found dead in his prison cell.

",German,
