movie_odid,display_name,billing,person_odid,person,character,type,role,person_name,DOB,DOB_source,Gender,Gender_source,race_final,race_source,race_scores_fair,in_actorlist,in_directorlist,Race_present,DOB_present,Gender_present,total_people,dob_coverage,gender_coverage,race_coverage
70100,Pirates of the Caribbean: Dead Man’s Chest,2,15940401,Orlando Bloom,Will Turner,Leading,,Orlando Bloom,1977-01-13,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.956578254699707, 5.6428907555527985e-05, 0.019784949719905853, 5.802615123684518e-05, 0.00011529064795468003, 0.0006095400312915444, 0.022797439247369766]",True,False,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,3,78970401,Keira Knightley,Elizabeth Swann,Leading,,Keira Knightley,1985-03-26,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.975827693939209, 2.5967749479605118e-06, 0.0037458629813045263, 0.00023180556308943778, 7.137958891689777e-05, 0.00014428922440856695, 0.01997637376189232]",True,False,True,True,True,6,1.0,1.0,1.0
70100,Pirates of the Caribbean: Dead Man’s Chest,5,106110401,Bill Nighy,Davy Jones,Leading,,Bill Nighy,1949-12-12,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9967381358146667, 9.993792673412827e-07, 0.0003802402934525162, 0.00037864575278945267, 0.0002807330747600645, 2.8706301236525178e-05, 0.0021924609318375587]",True,False,True,True,True,6,1.0,1.0,1.0
80100,Spider-Man,3,203800401,Ian Bryce,,,Producer,Ian Bryce,1956-11-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9934713840484619, 3.521183771226788e-06, 0.00012268188584130257, 6.72577298246324e-05, 3.855607064906508e-05, 2.883475463022478e-05, 0.006267752964049578]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,1,117920401,Sam Raimi,,,Director,Sam Raimi,1959-10-23,TMDB,Male,TMDB,White,Wikipedia,"[0.45042186975479126, 0.00020414311438798904, 0.20552679896354675, 0.03565177321434021, 0.007614469155669212, 0.0023878642823547125, 0.29819315671920776]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,2,203790401,Laura Ziskin,,,Producer,Laura Ziskin,1950-03-03,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9840459823608398, 1.663848365751619e-06, 0.0027743084356188774, 3.256360287196003e-05, 2.343071719224099e-05, 1.7569996998645365e-05, 0.013104423880577087]",False,True,True,True,True,4,1.0,1.0,1.0
80100,Spider-Man,1,90320401,Tobey Maguire,Spider-Man/Peter Parker,Leading,,Tobey Maguire,1975-06-27,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.996112048625946, 1.2545633580884896e-06, 0.0017893885960802436, 2.203408075729385e-05, 3.746729635167867e-05, 0.00027925806352868676, 0.0017584265442565084]",True,False,True,True,True,4,1.0,1.0,1.0
90100,Transformers: Revenge of the Fallen,2,50340401,Megan Fox,Mikaela Banes,Leading,,Megan Fox,1986-05-16,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.03842921182513237, 0.0019749398343265057, 0.6161289811134338, 0.0005007425788789988, 0.0007646700250916183, 0.28386420011520386, 0.0583372563123703]",True,False,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,8,188320401,Lorenzo di Bonaventura,,,Producer,Lorenzo di Bonaventura,1957-01-13,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9960266351699829, 2.153050900233211e-06, 0.002025122055783868, 0.00013686147576663643, 0.0001246945175807923, 3.783592183026485e-05, 0.0016466560773551464]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,6,204370401,Tom DeSanto,,,Producer,Tom DeSanto,,Unknown,,Unknown,,,,False,True,False,False,False,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,5,204380401,Don Murphy,,,Producer,Don Murphy,1970-01-01,Wiki_document,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9969520568847656, 1.533035629108781e-06, 0.000989890075288713, 4.0529193938709795e-05, 2.7053780286223628e-05, 3.9310175452555995e-06, 0.001984956441447139]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,1,11530401,Michael Bay,,,Director,Michael Bay,1965-02-17,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9993884563446045, 4.2996970250896993e-07, 0.00018379863467998803, 1.5166439879976679e-05, 2.9008846468059346e-05, 1.474310101912124e-05, 0.00036839712993241847]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,7,203800401,Ian Bryce,,,Producer,Ian Bryce,1956-11-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9934713840484619, 3.521183771226788e-06, 0.00012268188584130257, 6.72577298246324e-05, 3.855607064906508e-05, 2.883475463022478e-05, 0.006267752964049578]",False,True,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
90100,Transformers: Revenge of the Fallen,1,80850401,Shia LaBeouf,Sam Witwicky,Leading,,Shia LaBeouf,1986-06-11,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9032259583473206, 0.00023644878820050508, 0.05812787264585495, 0.0003962423943448812, 0.00045573589159175754, 0.0012235497124493122, 0.036334168165922165]",True,False,True,True,True,7,0.8571428571428571,0.8571428571428571,0.8571428571428571
100100,Star Wars Ep. III: Revenge of the Sith,1,88340401,George Lucas,,,Director,George Lucas,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,2,115800401,Natalie Portman,Padmé Amidala,Leading,,Natalie Portman,1981-06-09,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.9760515689849854, 6.290528290264774e-06, 0.017943140119314194, 2.2015563445165753e-05, 2.2167823772178963e-05, 0.0005332321161404252, 0.005421479698270559]",True,False,True,True,True,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,3,203590401,Rick McCallum,,,Producer,Rick McCallum,,Unknown,,Unknown,,,,False,True,False,False,False,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,1,1290401,Ewan McGregor,"Obi-Wan ""Ben"" Kenobi",Leading,,Ewan McGregor,1971-03-31,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9999595880508423, 3.91751235895299e-08, 1.257038729818305e-05, 8.107809321700188e-07, 1.6157985101017402e-06, 5.583911502071714e-07, 2.4796756406431086e-05]",True,False,True,True,True,5,0.6,0.6,0.6
100100,Star Wars Ep. III: Revenge of the Sith,3,28330401,Hayden Christensen,Anakin Skywalker/Darth Vader,Leading,,Hayden Christensen,1981-04-19,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.9980192184448242, 1.2312929129620898e-06, 0.00035554106580093503, 1.4717412341269664e-05, 8.928094757720828e-06, 9.500440683041234e-07, 0.0015995221910998225]",True,False,True,True,True,5,0.6,0.6,0.6
307900100,Titanic,1,1400210401,Herbert Selpin,,,Director,Herbert Selpin,1902-05-29,TMDB,Male,TMDB,White,Wikipedia,"[0.2500323951244354, 0.003718231339007616, 0.2720121741294861, 0.002579626627266407, 0.005582386627793312, 0.060412775725126266, 0.4056623876094818]",False,True,True,True,True,1,1.0,1.0,1.0
