person_odid,person_name,DOB,DOB_source,Gender,Gender_source,wiki_race_tag,race_predicted,race4_predicted,race_scores_fair,race_scores_fair_4,in_actorlist,in_directorlist
39750401,Leonardo DiCaprio,1974-11-11,TMDB,Male,TMDB,White,White,White,"[0.5519263744354248, 0.0022383960895240307, 0.4149550497531891, 0.001488292240537703, 0.002279921667650342, 0.00864520575851202, 0.018466753885149956]","[0.9654868245124817, 0.007052367087453604, 0.013952433131635189, 0.013508416712284088]",True,False
48440401,Carrie Fisher,,Unknown,,Unknown,,,,,,True,False
50340401,Megan Fox,1986-05-16,TMDB,Female,TMDB,,Latino_Hispanic,Indian,"[0.03842921182513237, 0.0019749398343265057, 0.6161289811134338, 0.0005007425788789988, 0.0007646700250916183, 0.28386420011520386, 0.0583372563123703]","[0.25847381353378296, 0.08369597792625427, 0.012880505993962288, 0.644949734210968]",True,False
60740401,Mark Hamill,,Unknown,,Unknown,,,,,,True,False
78970401,Keira Knightley,1985-03-26,TMDB,Female,TMDB,,White,White,"[0.975827693939209, 2.5967749479605118e-06, 0.0037458629813045263, 0.00023180556308943778, 7.137958891689777e-05, 0.00014428922440856695, 0.01997637376189232]","[0.9980723857879639, 2.4951283194241114e-05, 0.0010240289848297834, 0.0008785197860561311]",True,False
80850401,Shia LaBeouf,1986-06-11,TMDB,Male,TMDB,White,White,White,"[0.9032259583473206, 0.00023644878820050508, 0.05812787264585495, 0.0003962423943448812, 0.00045573589159175754, 0.0012235497124493122, 0.036334168165922165]","[0.9686431884765625, 0.0014771649148315191, 0.00380295910872519, 0.02607678808271885]",True,False
83480401,Heath Ledger,1979-04-04,TMDB,Male,TMDB,White,White,White,"[0.8000125288963318, 0.0007203573477454484, 0.09853428602218628, 0.00018136424478143454, 0.0002080515696434304, 0.0001496465556556359, 0.10019372403621674]","[0.9986459612846375, 0.0004845408839173615, 0.0008391235605813563, 3.035062036360614e-05]",True,False
86720401,Jake Lloyd,,Unknown,,Unknown,,,,,,True,False
90320401,Tobey Maguire,1975-06-27,TMDB,Male,TMDB,Mixed,White,White,"[0.996112048625946, 1.2545633580884896e-06, 0.0017893885960802436, 2.203408075729385e-05, 3.746729635167867e-05, 0.00027925806352868676, 0.0017584265442565084]","[0.9994903802871704, 1.77206293301424e-05, 0.0001298942370340228, 0.0003619955386966467]",True,False
104060401,Mike Myers,1963-05-25,TMDB,Male,TMDB,White,White,White,"[0.9545515775680542, 2.1892481527174823e-05, 0.025352759286761284, 0.0006190208368934691, 0.0005422377726063132, 0.0003845613682642579, 0.018527977168560028]","[0.9822708964347839, 0.0003150847624056041, 0.015964338555932045, 0.0014496559742838144]",True,False
106110401,Bill Nighy,1949-12-12,TMDB,Male,TMDB,,White,White,"[0.9967381358146667, 9.993792673412827e-07, 0.0003802402934525162, 0.00037864575278945267, 0.0002807330747600645, 2.8706301236525178e-05, 0.0021924609318375587]","[0.9811620712280273, 2.9726195407420164e-06, 0.01835189387202263, 0.00048308950499631464]",True,False
115800401,Natalie Portman,1981-06-09,TMDB,Female,TMDB,,White,White,"[0.9760515689849854, 6.290528290264774e-06, 0.017943140119314194, 2.2015563445165753e-05, 2.2167823772178963e-05, 0.0005332321161404252, 0.005421479698270559]","[0.9934483170509338, 0.00014775467570871115, 0.0003383526927791536, 0.006065557710826397]",True,False
141560401,Henry Thomas,1971-09-09,TMDB,Male,TMDB,,White,White,"[0.9998235106468201, 1.658249715319471e-08, 2.6023264581453986e-05, 2.108541775669437e-05, 8.871381396602374e-06, 7.17208820333326e-07, 0.00011986089521087706]","[0.9999680519104004, 6.612577152509402e-08, 3.00265437545022e-05, 1.793648266357195e-06]",True,False
2460401,Andrew Adamson,1966-12-01,Wiki_document,Male,Wiki_document,White,,,,,False,True
5880401,Avi Arad,1948-08-01,TMDB,Male,TMDB,White,White,White,"[0.9835584759712219, 2.322786531294696e-05, 0.005886505823582411, 0.0006536496221087873, 0.0004760052834171802, 0.00047278383863158524, 0.00892933551222086]","[0.9976704716682434, 3.858714262605645e-05, 0.0016583878314122558, 0.0006326549919322133]",False,True
6860401,Kelly Asbury,1960-01-15,TMDB,Male,TMDB,,White,White,"[0.9901444911956787, 0.00027991915703751147, 0.006836249027401209, 0.00013209461758378893, 0.00012363556015770882, 0.00017537418170832098, 0.0023083211854100227]","[0.9990785121917725, 0.0002696449519135058, 0.0004304135509300977, 0.00022141206136438996]",False,True
11530401,Michael Bay,1965-02-17,TMDB,Male,TMDB,White,White,White,"[0.9993884563446045, 4.2996970250896993e-07, 0.00018379863467998803, 1.5166439879976679e-05, 2.9008846468059346e-05, 1.474310101912124e-05, 0.00036839712993241847]","[0.9999872446060181, 2.9760559527858277e-07, 9.894567483570427e-06, 2.611991476442199e-06]",False,True
23100401,James Cameron,1954-08-16,TMDB,Male,TMDB,White,White,White,"[0.9989583492279053, 7.847458505239047e-07, 5.771115320385434e-05, 2.611786158013274e-06, 2.8342451514618006e-06, 1.6153302567545325e-05, 0.0009613793808966875]","[0.9998364448547363, 9.286995918955654e-06, 4.7720885049784556e-05, 0.0001066030963556841]",False,True
55800401,Brian Goldner,1963-04-21,TMDB,Male,TMDB,,,,,,False,True
79280401,David Koepp,1963-06-09,TMDB,Male,TMDB,White,White,White,"[0.9996176958084106, 4.976382683707925e-07, 0.0002441485703457147, 2.9394266221061116e-06, 3.7938507375656627e-06, 7.305603048735065e-06, 0.00012355395301710814]","[0.9993615746498108, 1.426263952453155e-05, 0.00030079574207775295, 0.00032336480217054486]",False,True
80570401,Alex Kurtzman,1973-09-07,TMDB,Male,TMDB,White,White,White,"[0.8691748380661011, 8.71217853273265e-05, 0.055064063519239426, 0.0021357436198741198, 0.0006505001801997423, 0.009200566448271275, 0.06368708610534668]","[0.9837168455123901, 0.002337425947189331, 0.006723965052515268, 0.0072218808345496655]",False,True
83860401,Stan Lee,1922-12-28,Wiki_document,Male,Wiki_document,White,,,,,False,True
86260401,David Lipman,,Unknown,Male,TMDB,,,,,,False,True
88340401,George Lucas,,Unknown,,Unknown,,,,,,False,True
106410401,Christopher Nolan,1970-07-30,TMDB,Male,TMDB,White,White,White,"[0.9958711266517639, 1.6552222632526536e-06, 0.00027007609605789185, 5.128248176333727e-06, 5.246567525318824e-06, 2.68203548330348e-05, 0.0038199254777282476]","[0.9997991919517517, 0.00010758754069684073, 8.299504770548083e-06, 8.483889541821554e-05]",False,True
109030401,Roberto Orci,1973-07-20,TMDB,Male,TMDB,Latino / Hispanic,White,White,"[0.992192804813385, 7.467645559700031e-07, 0.0036542245652526617, 4.435640221345238e-06, 6.611454864469124e-06, 7.009392720647156e-05, 0.004070980008691549]","[0.9999133348464966, 6.694743888147059e-07, 1.2763321137754247e-05, 7.317411655094475e-05]",False,True
117920401,Sam Raimi,1959-10-23,TMDB,Male,TMDB,White,White,White,"[0.45042186975479126, 0.00020414311438798904, 0.20552679896354675, 0.03565177321434021, 0.007614469155669212, 0.0023878642823547125, 0.29819315671920776]","[0.9712598323822021, 0.0010369152296334505, 0.0185482669621706, 0.009154943749308586]",False,True
135430401,Steven Spielberg,1946-12-18,TMDB,Male,TMDB,,White,White,"[0.9816393852233887, 6.206834950717166e-05, 0.002256237668916583, 7.757115236017853e-05, 0.00016134594625327736, 0.0010078574996441603, 0.014795506373047829]","[0.9975881576538086, 6.152295100037009e-05, 0.0003380711132194847, 0.0020122670102864504]",False,True
145280401,Mark Vahradian,,Unknown,Male,TMDB,,White,White,"[0.8045579791069031, 2.8228070732438937e-05, 0.17760518193244934, 0.0003721149987541139, 0.0003057369322050363, 0.006082175299525261, 0.011048538610339165]","[0.989807665348053, 2.8441012545954436e-05, 0.00038194304215721786, 0.009781966917216778]",False,True
146540401,Gore Verbinski,1964-03-16,TMDB,Male,TMDB,,White,White,"[0.996317982673645, 3.0192846679710783e-05, 0.00204952759668231, 0.000415713875554502, 0.00039346329867839813, 0.00025669598835520446, 0.0005364807439036667]","[0.9893744587898254, 0.001051665865816176, 0.004502088762819767, 0.0050717550329864025]",False,True
146710401,Conrad Vernon,1968-07-11,TMDB,Male,TMDB,,White,White,"[0.9965621829032898, 1.0238630238745827e-05, 0.0008719587931409478, 7.24897108739242e-06, 7.663993528694846e-06, 2.1903695596847683e-05, 0.002518764231353998]","[0.9996035695075989, 4.666029417421669e-05, 0.00019715269445441663, 0.0001526622218079865]",False,True
182170401,Ehren Kruger,1972-10-05,TMDB,Male,TMDB,,White,White,"[0.9999481439590454, 1.3679474220040788e-09, 6.959347956581041e-06, 1.4298112773758476e-06, 1.142740188697644e-06, 4.189142259747314e-07, 4.1869934648275375e-05]","[0.9998959302902222, 1.263113063032506e-06, 4.337084465078078e-05, 5.940044138696976e-05]",False,True
188320401,Lorenzo di Bonaventura,1957-01-13,TMDB,Male,TMDB,,White,White,"[0.9960266351699829, 2.153050900233211e-06, 0.002025122055783868, 0.00013686147576663643, 0.0001246945175807923, 3.783592183026485e-05, 0.0016466560773551464]","[0.9990092515945435, 3.3697381240926916e-07, 0.0009738910594023764, 1.643658288230654e-05]",False,True
189790401,Kathleen Kennedy,,Unknown,,Unknown,,,,,,False,True
190420401,Jon Landau,1960-07-23,TMDB,Male,TMDB,,White,White,"[0.6419616341590881, 0.0014556554378941655, 0.3023461103439331, 0.0005227683577686548, 0.0007805381319485605, 0.02749629318714142, 0.025437092408537865]","[0.7859734296798706, 0.0026380105409771204, 0.0006853266968391836, 0.2107032835483551]",False,True
195610401,Eric McLeod,,Unknown,Male,TMDB,,,,,,False,True
203230401,Emma Thomas,1971-12-09,TMDB,Female,TMDB,White,White,White,"[0.9998739957809448, 1.649048613217019e-07, 7.004110375419259e-05, 4.2814815515157534e-07, 8.122647159325425e-07, 5.979924480925547e-06, 4.8546695325057954e-05]","[0.9999114274978638, 7.328505944315111e-06, 5.712014171876945e-06, 7.562438986497e-05]",False,True
203240401,Charles Roven,1949-08-02,TMDB,Male,TMDB,,White,White,"[0.9777015447616577, 1.992965735553298e-05, 0.0010739112040027976, 8.253275154856965e-05, 6.38590136077255e-05, 0.00018229843408335, 0.020875949412584305]","[0.9993471503257751, 3.891314554493874e-05, 0.0004542772367130965, 0.00015960187010932714]",False,True
203250401,Jonathan Nolan,1976-06-06,TMDB,Male,TMDB,White,White,White,"[0.9978367686271667, 1.1441644346632529e-05, 0.001221241895109415, 5.5455406254623085e-05, 4.4975633500143886e-05, 1.1647454812191427e-05, 0.0008185205515474081]","[0.9996103644371033, 0.00011891842586919665, 0.0001525944098830223, 0.00011813294986495748]",False,True
203280401,Gary Kurtz,,Unknown,,Unknown,,,,,,False,True
203290401,Camera Gilbert Taylor,,Unknown,,Unknown,,,,,,False,True
203340401,Jeffrey Katzenberg,1950-12-21,TMDB,Male,TMDB,White,White,White,"[0.9033837914466858, 0.00040003046160563827, 0.038803450763225555, 3.968485179939307e-05, 5.8230354625266045e-05, 0.0002640221209730953, 0.05705059692263603]","[0.9996662139892578, 6.0921342083020136e-05, 1.838319076341577e-05, 0.00025452059344388545]",False,True
203350401,Aron Warner,1961-03-25,TMDB,Male,TMDB,,White,White,"[0.9226744174957275, 4.274806997273117e-05, 0.0022392524406313896, 0.0008643401088193059, 0.0007858731551095843, 0.0008921072585508227, 0.07250125706195831]","[0.9946343898773193, 0.0007148177246563137, 0.0020188288763165474, 0.002631841227412224]",False,True
203360401,John H. Williams,1953-06-17,TMDB,Male,TMDB,,White,White,"[0.9924926161766052, 2.0032555312354816e-06, 0.003019531723111868, 2.330166353203822e-06, 3.322669499539188e-06, 7.707985787419602e-05, 0.004403241444379091]","[0.9997931122779846, 4.750166226585861e-06, 4.77235244034091e-06, 0.00019735675596166402]",False,True
203370401,Joe Stillman,1959-08-01,Wiki_document,Male,TMDB,,Middle Eastern,White,"[0.44039610028266907, 3.513842966640368e-05, 0.01609046384692192, 6.297208165051416e-05, 0.00019288953626528382, 0.0015699053183197975, 0.5416525602340698]","[0.9964939951896667, 0.00012079882435500622, 0.0019041612977162004, 0.0014811164001002908]",False,True
203390401,David N. Weiss,,Unknown,Male,TMDB,White,,,,,False,True
203560401,Melissa Mathison,1950-06-03,TMDB,Female,TMDB,,White,White,"[0.9726534485816956, 8.74466059030965e-06, 0.00932189729064703, 2.5524318516545463e-06, 7.950532562972512e-06, 6.550968828378245e-05, 0.017939932644367218]","[0.999974250793457, 2.5777044356800616e-06, 1.5063798855408095e-05, 8.05140552984085e-06]",False,True
203590401,Rick McCallum,,Unknown,,Unknown,,,,,,False,True
203620401,Mike Stenson,,Unknown,Male,TMDB,,White,White,"[0.9953254461288452, 6.812853143856046e-07, 0.0014578655827790499, 0.0002130323846358806, 4.942546001984738e-05, 4.312893725000322e-05, 0.0029103707056492567]","[0.9996466636657715, 1.7160996890197566e-07, 0.00034693439374677837, 6.259438578126719e-06]",False,True
203630401,Chad Oman,1965-05-15,TMDB,Male,TMDB,,White,White,"[0.9508991837501526, 4.902514774585143e-06, 0.01902369223535061, 0.00018939511210191995, 0.0002839862136170268, 0.0026154015213251114, 0.02698352001607418]","[0.997642457485199, 9.414321539225057e-06, 0.0001879697956610471, 0.0021600814070552588]",False,True
203640401,Bruce Hendricks,,Unknown,Male,TMDB,,White,White,"[0.9876149892807007, 6.53404777040123e-06, 0.00556197389960289, 4.1884657548507676e-05, 2.239671812276356e-05, 3.38924874085933e-05, 0.0067184679210186005]","[0.9994593262672424, 1.707054252619855e-05, 0.00040891743265092373, 0.00011478039959911257]",False,True
203650401,Jerry Bruckheimer,1943-09-21,TMDB,Male,TMDB,,White,White,"[0.9995299577713013, 3.7377933637117167e-08, 5.456792223412776e-06, 4.5505280468205456e-06, 1.7445811408833833e-06, 4.177322807663586e-07, 0.0004578092775773257]","[0.9999744892120361, 4.3875741084775655e-07, 1.9312738004373387e-05, 5.671359758707695e-06]",False,True
203660401,Ted Elliott,1961-07-04,TMDB,Male,TMDB,,White,White,"[0.9990008473396301, 1.466440835429239e-07, 6.838995614089072e-05, 1.2221775250509381e-05, 7.472838206012966e-06, 4.880090273218229e-06, 0.0009059925796464086]","[0.9999078512191772, 1.5660120880056638e-06, 4.014145815744996e-05, 5.0381764594931155e-05]",False,True
203670401,Terry Rossio,1960-07-02,TMDB,Male,TMDB,,White,White,"[0.999916672706604, 1.2902272139569959e-08, 8.399188118346501e-06, 4.790110779140377e-06, 1.8198817315351334e-06, 7.510793693654705e-07, 6.772991036996245e-05]","[0.9999102354049683, 5.091609978080669e-07, 8.018551307031885e-05, 9.096139365283307e-06]",False,True
203790401,Laura Ziskin,1950-03-03,TMDB,Female,TMDB,White,White,White,"[0.9840459823608398, 1.663848365751619e-06, 0.0027743084356188774, 3.256360287196003e-05, 2.343071719224099e-05, 1.7569996998645365e-05, 0.013104423880577087]","[0.9997561573982239, 9.502741704636719e-06, 0.0002292660647071898, 4.9998811846307945e-06]",False,True
203800401,Ian Bryce,1956-11-30,TMDB,Male,TMDB,White,White,White,"[0.9934713840484619, 3.521183771226788e-06, 0.00012268188584130257, 6.72577298246324e-05, 3.855607064906508e-05, 2.883475463022478e-05, 0.006267752964049578]","[0.998950183391571, 0.00010493075387785211, 0.00046811564243398607, 0.000476809247629717]",False,True
204370401,Tom DeSanto,,Unknown,,Unknown,,,,,,False,True
204380401,Don Murphy,1970-01-01,Wiki_document,Male,TMDB,,White,White,"[0.9969520568847656, 1.533035629108781e-06, 0.000989890075288713, 4.0529193938709795e-05, 2.7053780286223628e-05, 3.9310175452555995e-06, 0.001984956441447139]","[0.9995725750923157, 1.5004450688138604e-05, 0.0003935164713766426, 1.8951781385112554e-05]",False,True
211610401,Michael E. Uslan,1952-06-02,TMDB,Male,TMDB,,East Asian,White,"[0.42439988255500793, 0.00405383063480258, 0.006004953291267157, 0.4679986536502838, 0.09243138879537582, 0.0012382878921926022, 0.0038730057422071695]","[0.9523596167564392, 7.802788604749367e-05, 0.04727065563201904, 0.00029174814699217677]",False,True
256160401,J. David Stem,,Unknown,,Unknown,,,,,,False,True
1400210401,Herbert Selpin,1902-05-29,TMDB,Male,TMDB,White,Middle Eastern,White,"[0.2500323951244354, 0.003718231339007616, 0.2720121741294861, 0.002579626627266407, 0.005582386627793312, 0.060412775725126266, 0.4056623876094818]","[0.6620882749557495, 0.009935269132256508, 0.011510553769767284, 0.31646594405174255]",False,True
